Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"1,589,000",710.42,"2,237",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,076",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,326,000","1,076.4","2,161",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,260",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,338,000","1,097.93","2,129",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"22,922",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,481,000",645.84,"2,293",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,683",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,596,000",710.42,"2,247",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,182",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,334,000","1,076.4","2,168",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,100,"23,340",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,346,000","1,097.93","2,137",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"23,000",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,488,000",645.84,"2,304",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"24,800",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"3,196,000","1,582.31","2,020",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,741",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,610,000",710.42,"2,266",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,394",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,362,000","1,097.93","2,151",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"23,157",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,502,000",645.84,"2,326",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,033",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"3,014,000","1,410.08","2,137",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,131,"23,008",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"3,196,000","1,582.31","2,020",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,741",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,610,000",710.42,"2,266",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,394",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,502,000",645.84,"2,326",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,033",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,617,000",710.42,"2,276",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,500",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"2,370,000","1,097.93","2,159",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"23,235",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"1,509,000",645.84,"2,336",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,150",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,16 to 20
PICCADILLY GRAND,"3,216,000","1,582.31","2,032",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,878",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,624,000",710.42,"2,286",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,606",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,378,000","1,097.93","2,166",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"23,314",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,516,000",645.84,"2,347",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,267",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"3,226,000","1,582.31","2,039",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,147,"21,946",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
